Well Name;Last;Choke;BHP;WHP;WHT;Gas;Cond;Water;WOR;GOR
Field1-1W;10.04.14;33;543;429;103;440;303;0;0;1452
Field1-1W;03.05.14;22.5;557;440;96;385;244;1;0.0000033;1581
Field1-1W;05.05.14;18.2;574;456;91;311;207;1;0.0000036;1501
Field1-1W;08.05.14;29.2;521;409;103;515;333;2;0.0000034;1546
Field1-1W;22.05.14;63.7;412;311;94;795;442;0;0;1799
Field1-1W;17.07.14;57.6;392;294;81;731;415;2;0.0000026;1762
Field1-1W;23.07.14;64.7;369;275;105;784;456;2;0.0000028;1718
Field1-1W;11.09.14;53.6;386;289;102;676;361;0;0;1872
Field1-1W;19.11.14;73;308;224;104;784;401;2;0.0000026;1956
Field1-1W;20.11.14;72.3;309;225;108;750;410;2;0.0000027;1827
Field1-1W;02.05.15;20;446;340;97;313;188;0;0;1669
Field1-1W;03.05.15;40;370;277;100;510;262;0;0;1945
Field1-1W;04.05.15;60;334;247;104;662;254;0;0;2604
Field1-1W;07.08.15;20;429;325;89;317;192;0;0;1650
Field1-1W;08.08.15;40;359;268;92;500;275;0;0;1821
Field1-1W;09.08.15;60;308;226;95;617;260;0;0;2374
Field1-1W;11.10.15;44;336;249;102;489;275;0;0;1778
Field1-1W;31.10.15;21.5;411;311;96;319;193;0;0;1648
Field1-1W;01.11.15;25;400;302;98;355;205;0;0;1734
Field1-1W;02.11.15;29.5;380;286;99;404;241;0;0;1676
Field1-1W;03.01.16;52;299;220;100;530;262;0;0;2020
Field1-1W;16.01.16;45.3;304;223;101;484;273;0;0;1775
Field1-1W;17.01.16;53.7;286;209;102;513;280;0;0;1832
Field1-1W;13.02.16;15;406;296;75;251;145;0;0;1739
Field1-1W;25.03.16;30.7;338;250;97;442;199;22;0.0000504;2224
Field1-1W;04.04.16;50.6;281;204;101;564;234;22;0.0000389;2408
Field1-1W;20.04.16;27;301;214;75;354;171;27;0.0000756;2069
Field1-1W;27.04.16;40;297;217;97;486;206;21;0.0000425;2364
Field1-1W;19.07.16;41.7;282;205;92;503;209;19;0.000038;2401
Field1-1W;29.11.16;25;282;203;51;343;130;17;0.000051;2642
Field1-1W;16.01.17;25;274;196;49;326;0;0;0;0
Field1-1W;20.02.17;25;261;185;48;328;145;0;0;2255
Field1-1W;22.03.17;26.4;264;189;51;362;157;0;0;2316
Field1-1W;09.04.17;25;263;188;52;380;163;0;0;2331
Field1-1W;20.04.17;25;277;201;53;391;163;0;0;2401
Field1-1W;11.05.17;20;294;214;52;354;151;0;0;2345
Field1-1W;17.05.17;20;294;214;50;357;151;0;0;2363
Field1-1W;19.06.17;30;250;180;49;397;162;0;0;2443
Field1-1W;20.06.17;20;279;201;46;342;151;0;0;2255
Field1-1W;08.08.17;20;233;164;46;311;154;0;0;2021
Field1-1W;01.09.17;23;236;168;46;377;151;0;0;2497
Field1-1W;23.09.17;25;239;171;47;408;144;17;0.0000425;2835
Field1-1W;04.10.17;25;241;173;52;411;161;0;0;2548
Field1-1W;13.10.17;25;245;176;69;405;155;0;0;2614
Field1-1W;23.10.17;25;268;193;87;374;150;0;0;2489
Field1-1W;31.10.17;25;309;223;76;300;111;20;0.0000666;2698
Field1-1W;13.11.17;25;229;162;77;386;141;26;0.0000675;2731
Field1-1W;13.12.17;20;237;169;80;413;152;24;0.0000577;2724
Field1-1W;05.01.18;24.1;232;166;80;429;144;17;0.0000389;2983
Field1-1W;29.01.18;25.6;228;163;80;443;142;17;0.0000384;3115
Field1-1W;09.02.18;19.8;225;161;79;439;137;20;0.0000464;3210
Field1-1W;08.03.18;17.3;218;155;78;401;126;19;0.0000462;3179
Field1-1W;12.04.18;24.8;211;151;80;443;130;21;0.0000462;3420
Field1-1W;01.05.18;24.4;207;146;80;445;122;29;0.0000642;3664
Field1-1W;07.05.18;24.4;209;148;80;442;115;32;0.0000723;3846
Field1-1W;02.06.18;24.1;207;145;80;436;108;35;0.0000814;4038
Field1-1W;18.06.18;24.1;205;143;74;438;104;36;0.0000818;4212
Field1-1W;07.07.18;24.7;202;141;72;436;97;37;0.0000838;4499
Field1-1W;29.08.18;10.2;415;318;69;402;175;0;0;2300
Field1-1W;30.08.18;15.4;382;289;74;515;221;0;0;2333
Field1-1W;31.08.18;20.5;361;272;78;570;237;0;0;2407
Field1-1W;01.09.18;25.1;352;265;80;576;215;16;0.0000276;2685
Field1-1W;02.09.18;15.3;353;265;79;551;210;21;0.0000381;2627
Field1-1W;03.09.18;10.1;373;281;77;450;181;17;0.0000371;2485
Field1-1W;04.09.18;24.9;326;242;79;637;238;19;0.0000302;2673
Field1-1W;05.09.18;29.9;325;241;82;622;215;27;0.0000435;2885
Field1-1W;06.09.18;20.1;318;236;79;625;230;17;0.0000267;2720
Field1-1W;07.09.18;20.1;315;233;77;607;215;22;0.0000367;2821
Field1-1W;08.09.18;10.2;345;258;81;496;191;15;0.0000303;2594
Field1-1W;09.09.18;4.4;358;268;79;442;176;17;0.0000374;2510
Field1-1W;10.09.18;0.9;359;269;79;436;167;16;0.0000364;2614
Field1-1W;26.09.18;5.2;428;324;64;197;78;2;0.0000081;2535
Field1-1W;27.09.18;10.2;425;319;69;203;78;2;0.0000078;2601
Field1-1W;28.09.18;15.3;393;291;78;272;122;3;0.0000099;2235
Field1-1W;29.09.18;40.1;322;237;89;503;201;17;0.0000347;2503
Field1-1W;30.09.18;30;341;255;89;440;172;16;0.0000361;2551
Field1-1W;01.10.18;20.2;372;277;87;339;127;19;0.0000562;2665
Field1-2W;27.05.14;38.6;267;164;64;105;292;0;0;360
Field1-2W;12.06.14;25.3;222;121;35;79;115;0;0;685
Field1-2W;26.07.14;20.9;278;171;40;54;64;0;0.0000057;849
Field1-3W;03.01.14;56.9;137;99;70;315;135;0;0;2327
Field1-3W;21.02.14;17;304;207;56;44;84;0;0.0000082;523
Field1-3W;24.02.14;17;304;207;56;44;84;0;0.0000082;523
Field1-3W;01.03.14;18.3;257;159;54;103;74;0;0;1399
Field1-3W;10.03.14;18.3;259;161;54;101;66;0;0;1520
Field1-3W;13.03.14;18.3;255;156;54;100;79;0;0;1260
Field1-3W;12.05.14;17.1;258;155;51;85;60;0;0;1411
Field1-3W;28.04.15;22;180;94;52;66;59;0;0;1117
Field1-3W;05.05.15;24.3;166;87;53;71;64;0;0;1123
Field1-3W;06.05.15;19.8;187;98;51;64;57;0;0;1119
Field1-3W;07.05.15;15.5;229;124;50;54;48;0;0;1121
Field1-3W;05.10.15;20;222;129;52;64;86;0;0;742
Field1-3W;06.10.15;24;191;109;53;67;90;0;0;742
Field2-1W;28.12.19;50;349;288;90;954;149;7;0.0000074;6401
Field2-1W;30.12.19;60.1;349;284;90;1085;168;8;0.000007;6459
Field2-1W;19.01.20;61.3;347;283;90;1124;172;8;0.0000071;6556
Field2-1W;13.07.20;60;338;273;91;1194;173;8;0.0000067;6921
Field2-1W;16.08.20;49.9;337;276;90;1296;162;6;0.0000043;7996
Field2-1W;17.08.20;40;338;278;90;979;141;6;0.0000062;6963
Field2-1W;11.09.20;46.2;336;275;91;1080;153;8;0.0000074;7059
Field2-1W;08.10.20;60;334;270;90;1200;168;9;0.0000078;7127
Field2-1W;22.11.20;59.9;333;268;90;1190;163;11;0.0000094;7296
Field2-1W;14.12.20;60.2;332;268;90;1202;162;11;0.0000093;7414
Field2-1W;06.01.21;60.4;331;267;90;1192;163;15;0.0000123;7314
Field2-1W;28.01.21;55.3;331;268;89;1257;164;10;0.0000079;7680
Field2-1W;02.02.21;50.7;332;270;89;1173;153;9;0.0000076;7692
Field2-1W;01.03.21;40.4;334;274;89;946;128;16;0.000017;7393
Field2-1W;25.03.21;40;333;273;89;929;125;16;0.0000177;7435
Field2-1W;15.04.21;40.7;331;272;91;952;126;17;0.0000177;7556
Field2-1W;08.05.21;40;331;270;90;1102;144;20;0.000018;7632
Field2-1W;26.06.21;39.5;332;273;90;983;129;16;0.0000167;7617
Field2-1W;06.07.21;39.8;332;274;87;874;115;26;0.0000303;7596
Field2-1W;23.09.21;40.3;341;280;87;1012;130;29;0.0000289;7783
Field2-1W;19.04.22;40.1;341;275;88;863;122;34;0.0000392;7068
Field2-1W;14.05.22;40.2;336;274;89;874;126;45;0.0000515;6917
Field2-1W;09.06.22;39.7;335;273;88;876;128;48;0.0000552;6870
Field2-1W;07.07.22;40.1;337;274;87;971;133;62;0.0000643;7299
Field2-1W;10.08.22;40.1;336;272;83;990;128;91;0.0000915;7739
Field2-1W;07.09.22;40.4;334;269;88;890;122;112;0.0001263;7319
Field2-1W;19.10.22;40.2;333;265;89;847;112;189;0.0002238;7548
Field2-1W;11.11.22;40.6;329;257;90;728;94;290;0.0003982;7726
Field2-1W;13.12.22;40.3;325;251;90;754;92;342;0.000454;8193
Field2-1W;30.12.22;40.8;324;249;90;718;81;384;0.0005356;8865
Field2-1W;14.01.23;39.8;325;248;92;693;74;427;0.0006156;9422
Field2-1W;12.02.23;39.8;327;247;90;672;91;456;0.0006786;7385
Field2-1W;28.02.23;39.8;327;249;90;732;77;439;0.0005992;9511
Field2-1W;05.03.23;39.8;327;249;90;732;78;439;0.0005999;9450
Field2-1W;28.03.23;50.4;325;243;92;774;76;528;0.0006818;10250
Field2-1W;01.04.23;60.2;324;239;92;851;92;586;0.0006884;9253
Field2-1W;03.04.23;69.8;323;235;94;909;92;652;0.0007173;9834
Field2-1W;04.04.23;80.4;321;230;94;988;102;735;0.0007441;9728
Field2-1W;06.04.23;69.9;323;235;95;899;90;657;0.0007303;10016
Field2-1W;29.04.23;66;321;231;93;825;72;731;0.0008857;11534
Field2-1W;03.05.23;60.4;319;227;94;725;62;828;0.0011428;11686
Field2-1W;26.05.23;39.9;319;216;93;454;50;830;0.0018281;9077
Field2-1W;12.06.23;70.4;314;203;95;545;56;1064;0.0019518;9735
Field2-1W;16.06.23;70.5;314;201;95;538;55;1105;0.0020522;9790
Field2-1W;03.07.23;70.6;317;200;95;391;40;943;0.0024143;9803
Field2-1W;23.07.23;40.3;315;191;95;362;38;1021;0.0028206;9655
Field2-1W;07.08.23;40.3;314;188;94;387;40;1224;0.0031594;9682
Field2-1W;06.09.23;39.8;313;179;95;295;31;1276;0.0043233;9518
Field2-1W;16.09.23;35.1;314;177;95;238;21;1172;0.0049158;11357
Field2-1W;04.10.23;30.4;312;159;95;165;17;1263;0.0076545;9706
Field2-1W;07.10.23;30.4;312;154;97;199;21;1357;0.0068072;9493
Field2-1W;17.10.23;30.4;313;161;97;222;23;1391;0.0062667;9653
Field2-1W;19.10.23;25.2;314;162;96;206;22;1329;0.0064478;9588
Field2-1W;20.10.23;19.8;315;163;95;140;15;1177;0.008399;9667
Field2-1W;21.10.23;15.4;315;162;94;133;14;1048;0.0078707;9859
Field2-1W;17.11.23;14.9;315;153;91;113;8;905;0.0079998;13636
Field2-1W;28.12.23;14.9;314;140;93;91;7;960;0.0105576;12990
Field2-1W;01.02.24;10;315;123;93;50;2;830;0.0167483;25795
Field2-1W;28.02.24;73.1;310;80;95;3;0;1320;0.4661448;0
Field2-1W;12.07.24;29.9;273;226;66;379;44;0;0;8528
Field2-1W;13.07.24;20.2;274;227;68;302;40;0;0;7591
Field2-1W;17.07.24;10.2;278;220;57;124;8;0;0;14964
Field2-1W;18.07.24;15;277;227;65;238;34;0;0;6987
Field2-1W;19.07.24;20.2;275;228;70;310;39;0;0;7866
Field2-1W;20.07.24;25.3;273;227;70;416;50;0;0;8325
Field2-1W;08.12.24;17.4;286;234;59;227;32;0;0;7128
Field2-1W;10.12.24;17.4;284;234;65;235;34;0;0;6828
Field2-1W;01.01.25;17.1;284;233;65;206;30;0;0;6922
Field2-1W;09.02.25;17;282;233;70;285;36;0;0;7975
Field2-1W;23.02.25;17;281;233;71;290;36;0;0;8063
Field2-1W;14.03.25;51.1;281;232;46;234;38;0;0;6148
Field2-1W;16.03.25;53.9;280;232;47;253;37;0;0;6805
Field2-1W;01.04.25;53.9;279;231;48;278;33;0;0;8342
Field2-1W;17.04.25;49.7;272;226;51;439;55;0;0;7980
Field2-1W;21.04.25;49.7;272;226;49;445;53;0;0;8388
Field2-1W;24.04.25;15.7;277;229;52;221;31;0;0;7125
Field2-3W;17.02.14;86;472;382;89;1255;391;0;0;3208
Field2-3W;01.03.14;82.8;471;382;90;1189;302;0;0;3932
Field2-3W;14.03.14;80.7;471;382;90;1180;288;0;0;4100
Field2-3W;29.04.14;51.2;468;391;89;920;197;2;0.0000017;4682
Field2-3W;19.05.14;63.5;468;385;87;1075;216;0;0;4983
Field2-3W;11.09.14;76.2;458;374;90;1125;238;0;0;4727
Field2-3W;19.11.14;93;449;350;91;1529;334;2;0.000001;4582
Field2-3W;20.11.14;92;448;349;92;1521;308;17;0.0000112;4936
Field2-3W;05.01.15;85;447;360;90;1259;207;45;0.0000361;6071
Field2-3W;03.02.15;60.2;447;368;88;990;200;54;0.0000546;4942
Field2-3W;04.02.15;71;446;364;89;1117;227;59;0.0000527;4911
Field2-3W;05.02.15;79.8;446;360;90;1217;254;60;0.0000497;4782
Field2-3W;05.02.15;90.3;444;350;91;1481;318;56;0.0000376;4659
Field2-3W;09.02.15;54;447;369;88;941;194;46;0.0000489;4861
Field2-3W;24.02.15;61;447;367;89;1041;161;25;0.0000237;6486
Field2-3W;26.02.15;77.4;446;360;91;1211;184;49;0.0000403;6569
Field2-3W;12.03.15;70.2;445;363;90;1293;261;22;0.0000167;4954
Field2-3W;28.03.15;20;448;378;80;417;86;24;0.0000571;4861
Field2-3W;29.03.15;40;447;373;85;739;140;40;0.0000538;5276
Field2-3W;30.03.15;60;446;367;88;1041;198;46;0.0000446;5268
Field2-3W;31.03.15;80;444;358;91;1337;283;32;0.0000238;4724
Field2-3W;19.05.15;40;446;372;87;750;175;8;0.0000106;4293
Field2-3W;23.05.15;60;444;365;90;859;238;13;0.0000148;3606
Field2-3W;14.08.15;80;437;352;91;1736;324;52;0.0000297;5360
Field2-3W;15.08.15;60;438;359;91;1436;268;43;0.0000297;5360
Field2-3W;15.08.15;40;439;366;86;1031;192;31;0.0000297;5360
Field2-3W;16.08.15;20;440;371;84;616;115;18;0.0000297;5360
Field2-3W;02.09.15;30;440;369;86;928;177;24;0.0000255;5241
Field2-3W;03.09.15;45;439;364;89;1276;243;33;0.0000255;5241
Field2-3W;04.09.15;61.5;438;358;92;1670;319;43;0.0000255;5241
Field2-3W;19.04.16;50.7;422;348;89;1012;189;30;0.0000297;5368
Field2-3W;01.06.16;31.2;422;352;88;704;147;11;0.0000158;4803
Field2-3W;06.10.16;28.5;417;347;86;646;114;31;0.0000472;5650
Field2-3W;12.02.17;40;413;336;88;845;211;51;0.0000602;3999
Field2-3W;20.03.17;26.3;410;335;87;694;0;0;0;0
Field2-3W;03.05.17;55.7;405;321;92;960;0;0;0;0
Field2-3W;10.06.17;30;404;325;89;782;0;0;0;0
Field2-3W;08.08.17;20;403;320;85;433;0;0;0;0
Field2-3W;12.10.17;20;398;305;88;420;0;0;0;0
Field2-3W;23.10.17;20;396;299;88;408;69;346;0.0008496;5940
Field2-3W;24.10.17;10;396;300;85;320;54;274;0.0008577;5940
Field2-3W;18.11.17;10;394;290;83;310;52;346;0.0011173;5940
Field2-3W;06.12.17;10;393;281;84;252;42;414;0.0016413;5940
Field2-6W;19.12.13;80.6;495;96;95;1528;422;0;0;3623
Field2-6W;21.02.14;79;486;391;98;1308;370;0;0;3537
Field2-6W;26.03.14;78.3;480;387;100;1238;261;0;0;4748
Field2-6W;05.05.14;26.1;490;412;91;558;97;24;0.0000425;5754
Field2-6W;08.05.14;36.8;487;408;95;737;139;35;0.0000472;5304
Field2-6W;22.05.14;45.4;484;404;98;760;153;0;0;4974
Field2-6W;12.06.14;30.7;486;407;92;609;117;0;0;5190
Field2-6W;08.12.14;81;440;347;99;1229;201;0;0;6119
Field2-6W;27.12.14;50;449;368;78;756;117;22;0.0000296;6455
Field2-6W;29.01.15;19.7;456;379;85;391;114;1;0.000002;3414
Field2-6W;02.02.15;40.5;452;374;92;667;191;0;0;3495
Field2-6W;02.02.15;60;447;365;94;886;184;48;0.0000538;4806
Field2-6W;03.02.15;80;437;344;97;1274;273;48;0.0000374;4660
Field2-6W;11.02.15;36.8;452;375;92;705;179;0;0;3943
Field2-6W;13.02.15;59.1;446;365;97;990;182;47;0.0000479;5443
Field2-6W;17.03.15;15.4;457;377;86;330;78;20;0.0000602;4238
Field2-6W;18.03.15;20;456;379;88;394;84;22;0.0000558;4681
Field2-6W;19.03.15;40.4;452;375;95;652;133;35;0.0000536;4915
Field2-6W;19.03.15;60.8;447;366;99;889;192;32;0.0000357;4624
Field2-6W;20.03.15;80.1;438;348;100;1288;242;62;0.0000481;5334
Field2-6W;24.05.15;85.2;423;323;103;1354;310;56;0.0000411;4368
Field2-6W;25.05.15;50.3;444;366;98;663;175;17;0.0000264;3791
Field2-6W;28.06.15;60;438;357;100;815;149;68;0.0000829;5485
Field2-6W;14.07.15;60;436;356;100;787;143;65;0.0000828;5504
Field2-6W;22.07.15;20;444;368;92;523;88;34;0.0000657;5908
Field2-6W;23.07.15;40;440;363;96;829;140;54;0.0000657;5908
Field2-6W;24.07.15;60;434;354;99;1141;193;75;0.0000657;5908
Field2-6W;25.07.15;80;424;334;102;1618;274;106;0.0000657;5908
Field2-6W;01.10.15;21.5;441;365;88;597;97;37;0.0000617;6145
Field2-6W;03.10.15;40;437;360;95;851;138;53;0.0000617;6145
Field2-6W;05.10.15;60;432;351;99;1172;191;72;0.0000617;6145
Field2-6W;30.10.15;25;440;365;89;527;86;33;0.0000617;6145
Field2-6W;01.04.16;40;420;345;96;671;127;34;0.0000509;5279
Field2-6W;24.04.16;40;418;343;96;708;130;36;0.0000505;5431
Field2-6W;04.06.16;40;416;340;97;736;145;25;0.0000345;5091
Field2-6W;06.06.16;20;421;346;92;496;93;25;0.0000512;5323
Field2-6W;18.06.16;60;409;329;97;912;170;48;0.0000523;5363
Field2-6W;07.07.16;60;407;327;95;964;177;49;0.0000508;5432
Field2-6W;12.07.16;20;418;343;89;471;89;25;0.0000521;5326
Field2-6W;28.07.16;20;416;341;92;484;97;17;0.0000352;4967
Field2-6W;19.08.16;40;409;334;97;748;136;36;0.0000487;5502
Field2-6W;29.09.16;50;404;328;92;786;163;29;0.0000368;4824
Field2-6W;19.02.17;40;405;331;91;684;133;37;0.0000534;5162
Field2-6W;05.03.17;40;404;329;93;711;134;40;0.0000559;5295
Field2-6W;13.04.17;40;401;326;97;671;129;35;0.0000521;5216
Field2-6W;05.06.17;40;396;322;97;675;120;37;0.0000553;5627
Field2-6W;06.06.17;30;399;326;95;569;102;33;0.0000573;5594
Field2-6W;07.06.17;20;402;328;92;438;78;26;0.0000584;5626
